utterance,response,response_time,speaker,responder,utterance_time,start_time,error,age,past_tense,plural,overlap,source_file
 and what about the mommy here, hm baby's asleep,7.0,MOT,JEN,7.314999999999998,97.665,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 hm baby's asleep, where'd did the mommy go,0.0,JEN,MOT,2.0459999999999923,111.98,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 where'd did the mommy go, xxx,0.0,MOT,CHI,3.88900000000001,114.026,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 xxx, o she's sittin who's she sittin with now,5.0,CHI,MOT,2.6269999999999953,117.915,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 o she's sittin who's she sittin with now, daddy,0.0,MOT,CHI,3.3419999999999845,125.542,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 daddy, so what did they do today,0.0,CHI,MOT,1.8610000000000184,128.884,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 so what did they do today, to sit,0.0,MOT,CHI,3.5749999999999886,130.745,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 to sit, de puppy dogs like to jump,0.0,CHI,CHI,2.2770000000000152,134.32,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 de puppy dogs like to jump, yeah they do,0.0,CHI,MOT,5.302999999999997,136.597,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yeah they do, they like to jump,0.0,MOT,MOT,1.6970000000000027,141.9,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 they like to jump, what else do they like to do,0.0,MOT,MOT,1.7129999999999939,143.597,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what else do they like to do, how do they go what's the sound they make,0.0,MOT,MOT,1.2959999999999923,145.31,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 how do they go what's the sound they make, they bark,0.0,MOT,CHI,6.917000000000002,146.606,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 they bark, wow,0.0,CHI,JEN,2.0459999999999923,153.523,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 wow, that's a lot of fun,7.299999999999983,JEN,MOT,1.2130000000000223,155.569,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 that's a lot of fun, how do they how do they bark at the moon,0.0,MOT,MOT,1.5459999999999923,164.082,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 how do they how do they bark at the moon, yep,8.099999999999994,MOT,MOT,2.3610000000000184,165.628,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yep, do you know what I've got and I didn't show you yet,5.0,MOT,MOT,1.4629999999999939,176.089,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 do you know what I've got and I didn't show you yet, I've got pictures from the day that we went,0.0,MOT,MOT,3.0090000000000146,182.552,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 I've got pictures from the day that we went, we were outside taking pictures remember that day,0.0,MOT,MOT,2.5439999999999827,185.561,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 we were outside taking pictures remember that day, remember that day,0.0,MOT,MOT,2.9930000000000234,188.105,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 remember that day, do you wanna see,0.0,MOT,MOT,4.804999999999978,191.098,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 do you wanna see, who's that,0.0,MOT,MOT,3.176000000000016,195.903,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 who's that, Jillian,0.0,MOT,CHI,3.1569999999999823,199.079,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 Jillian, yes,0.0,CHI,MOT,2.629000000000019,202.236,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yes, what was Jillian doin then,0.0,MOT,MOT,1.1129999999999995,204.865,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what was Jillian doin then, well outside,0.0,MOT,CHI,2.1939999999999884,205.978,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 well outside, you were outside,0.0,CHI,MOT,7.064999999999998,208.172,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 you were outside, what were you doing,0.0,MOT,MOT,1.2309999999999945,215.237,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what were you doing, uh I was planting,0.0,MOT,CHI,2.6110000000000184,216.468,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 uh I was planting, you were planting,0.0,CHI,MOT,4.638999999999982,219.079,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 you were planting, yes,0.0,MOT,CHI,1.9440000000000168,223.718,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yes, oh and then what did you do,0.0,CHI,MOT,0.664999999999992,225.662,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 oh and then what did you do, uh,0.0,MOT,CHI,1.9790000000000134,226.327,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 uh, what's in there,0.0,CHI,MOT,3.657999999999987,228.306,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what's in there, what's in there,0.0,MOT,MOT,2.9259999999999877,231.964,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what's in there, wa,0.0,MOT,CHI,0.8980000000000246,234.89,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 wa, wa,0.0,CHI,MOT,2.3259999999999934,235.788,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 wa, yeah,0.0,MOT,MOT,1.4629999999999939,238.114,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yeah, and what's the water inside,0.0,MOT,MOT,1.9790000000000134,239.577,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 and what's the water inside, what's the water in,0.0,MOT,MOT,3.390999999999991,241.556,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what's the water in, okay I'm gonna see if there's any other pictures you'd like to see,3.0,MOT,MOT,0.8979999999999961,244.947,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 okay I'm gonna see if there's any other pictures you'd like to see, who's that with you,0.0,MOT,MOT,2.852000000000004,248.845,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 who's that with you, da,0.0,MOT,CHI,1.8959999999999866,251.697,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 da, yeah,0.0,CHI,MOT,2.0940000000000225,253.593,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yeah, what were you doin,0.0,MOT,MOT,0.9819999999999709,255.687,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what were you doin, sitting with daddy,0.0,MOT,CHI,2.444000000000017,256.669,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 sitting with daddy, let's see what else,3.0,CHI,MOT,2.444999999999993,259.113,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 let's see what else, cute,2.9990000000000236,MOT,JEN,1.8050000000000068,264.558,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 cute, oop who you with now,5.0,JEN,MOT,1.0559999999999832,269.362,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 oop who you with now, mommy,0.0,MOT,CHI,1.629000000000019,275.418,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 mommy, what were we doin,0.0,CHI,MOT,1.4309999999999832,277.047,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what were we doin, what were we doin,0.0,MOT,MOT,1.2789999999999964,278.478,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what were we doin, plantin,0.0,MOT,CHI,3.141999999999996,279.757,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 plantin, planting,0.0,CHI,MOT,1.3140000000000214,282.899,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 planting, what's that,5.600000000000023,MOT,MOT,1.2129999999999654,284.213,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what's that, do you remember what that is,0.0,MOT,MOT,1.2309999999999945,291.026,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 do you remember what that is, a tree,0.0,MOT,CHI,6.084000000000003,292.257,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 a tree, yep,0.0,CHI,MOT,2.444000000000017,298.341,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yep, xxx,0.0,MOT,MOT,1.1479999999999677,300.785,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 xxx, ooh it looks like you're gonna do somethin here what were you doin then,3.0,MOT,MOT,5.1200000000000045,301.933,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 ooh it looks like you're gonna do somethin here what were you doin then, were you running,0.0,MOT,MOT,2.7690000000000055,310.053,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 were you running, any any good pictures,15.0,MOT,MOT,2.3600000000000136,312.822,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 any any good pictures, any ones you like better,0.0,MOT,MOT,1.7409999999999854,330.182,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 any ones you like better, do you like all,9.0,MOT,MOT,1.3140000000000214,331.923,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 do you like all, all right I'll put them away,0.0,MOT,MOT,1.7229999999999563,342.237,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 all right I'll put them away, okay,0.0,MOT,CHI,2.5270000000000437,343.96,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 okay, should we keep,0.0,CHI,MOT,2.527999999999963,346.487,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 should we keep, I'll keep safe okay,0.0,MOT,MOT,2.6759999999999877,349.015,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 I'll keep safe okay, okay,0.0,MOT,CHI,3.5740000000000123,351.691,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 okay, xxx,0.0,CHI,CHI,3.840000000000032,355.265,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 xxx, what's this here,9.400000000000034,CHI,JEN,2.575999999999965,359.105,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what's this here, a phone,0.0,JEN,CHI,1.2309999999999945,371.081,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 a phone, yeah,0.0,CHI,JEN,2.194999999999993,372.312,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yeah, what do you do on a phone,0.0,JEN,JEN,0.5640000000000214,374.507,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what do you do on a phone, uh call,0.0,JEN,CHI,0.8149999999999977,375.071,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 uh call, you call,0.0,CHI,JEN,3.8239999999999554,375.886,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 you call, hello,0.0,JEN,CHI,0.8799999999999955,379.71,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 hello, hello,0.0,CHI,JEN,0.9820000000000277,380.59,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 hello, who's who talks to you on the phone,0.0,JEN,MOT,1.478999999999985,381.572,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 who's who talks to you on the phone, mommy,0.0,MOT,CHI,3.7239999999999895,383.051,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 mommy, not just mommy who else,0.0,CHI,MOT,2.194000000000017,386.775,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 not just mommy who else, who talked to you on the phone yesterday,0.0,MOT,MOT,1.629000000000019,388.969,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 who talked to you on the phone yesterday, remember who talked to you on the phone yesterday,0.0,MOT,MOT,2.36099999999999,390.598,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 remember who talked to you on the phone yesterday, remember,0.0,MOT,MOT,3.4259999999999877,392.959,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 remember, grandma,0.0,MOT,FAT,2.9259999999999877,396.385,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 grandma, who was on the phone Jilly,0.0,FAT,FAT,1.146000000000015,399.311,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 who was on the phone Jilly, mommy and daddy,0.0,FAT,CHI,1.6129999999999995,400.457,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 mommy and daddy, and daddy and what about grandma,0.0,CHI,MOT,4.13900000000001,402.07,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 and daddy and what about grandma, did grandma call you yesterday,0.0,MOT,MOT,1.711999999999989,406.209,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 did grandma call you yesterday, yes,0.0,MOT,CHI,1.1299999999999955,407.921,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yes, what did she say,0.0,CHI,MOT,0.9809999999999945,409.051,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what did she say, did she ask you if you had fun at school,8.0,MOT,MOT,1.1480000000000246,410.032,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 did she ask you if you had fun at school, what'd did you tell her,0.0,MOT,MOT,2.1580000000000155,419.18,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what'd did you tell her, I needed to go to,0.0,MOT,CHI,2.19399999999996,421.338,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 I needed to go to, yum yum yum sit dere,0.0,CHI,CHI,6.518000000000029,423.532,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yum yum yum sit dere, ah ah ah please won't you hide a pen xxx yes,0.0,CHI,CHI,3.9069999999999823,430.05,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 ah ah ah please won't you hide a pen xxx yes, they're gonna have dinner,3.0,CHI,MOT,21.694999999999993,433.957,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 they're gonna have dinner, yes,0.0,MOT,CHI,0.8969999999999914,458.652,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yes, yummy what are they having,0.0,CHI,MOT,1.2320000000000277,459.549,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yummy what are they having, I can get the table for it,0.0,MOT,JEN,1.5459999999999923,460.781,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 I can get the table for it, okay,0.0,JEN,CHI,3.5260000000000105,462.327,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 okay, what are they gonna have,5.0,CHI,MOT,0.76400000000001,465.853,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what are they gonna have, what did we just have for dinner,0.0,MOT,MOT,1.7649999999999864,471.617,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what did we just have for dinner, you didn't eat that much but,0.0,MOT,MOT,3.7409999999999854,473.382,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 you didn't eat that much but, remember what we had for dinner,0.0,MOT,MOT,3.1090000000000373,477.123,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 remember what we had for dinner, xxx bars and hotdogs,0.0,MOT,MOT,2.825999999999965,480.232,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 xxx bars and hotdogs, baby,15.0,MOT,CHI,7.0,483.058,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 baby, here I'll be the mommy and you be the baby okay,0.0,CHI,MOT,0.8969999999999914,505.058,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
