utterance,response,response_time,speaker,responder,utterance_time,error,age,past_tense,plural,overlap,source_file
 somebody get in get in here, hm I wonder what happened to this mommy and why she won't move anymore,0.0,CHI,MOT,4.585999999999956,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 hm I wonder what happened to this mommy and why she won't move anymore, what's daddy doing,0.0,MOT,JES,17.56600000000003,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's daddy doing, drivin the tractor,0.0,JES,CHI,5.7239999999999895,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 drivin the tractor, oh yeah,0.0,CHI,JES,3.3899999999999864,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 oh yeah, where's he gonna go,0.0,JES,JES,0.46399999999999864,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 where's he gonna go, the baby gonna sit on his lap,0.0,JES,CHI,1.218999999999994,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 the baby gonna sit on his lap, what are the babies doing,0.0,CHI,JES,4.412000000000035,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what are the babies doing, hm,0.0,JES,JES,44.884000000000015,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 hm, look look at this one,0.0,JES,CHI,3.7969999999999686,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 look look at this one, what's is he doin,0.0,CHI,MOT,2.9250000000000114,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's is he doin, or she,0.0,MOT,MOT,1.4630000000000223,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 or she, in the farm,0.0,MOT,CHI,0.9869999999999663,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 in the farm, in the farm,0.0,CHI,JES,1.6949999999999932,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 in the farm, this is in the farm,0.0,JES,CHI,1.6949999999999932,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this is in the farm, the babies are going to the farm,0.0,CHI,JES,3.5300000000000296,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 the babies are going to the farm, one baby,0.0,JES,CHI,13.01400000000001,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 one baby, here's two,0.0,CHI,CHI,2.8220000000000027,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 here's two, now where are they going,0.0,CHI,JES,1.218999999999994,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 now where are they going, what are you finding in there,0.0,JES,MOT,30.161999999999978,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what are you finding in there, dis this,0.0,MOT,CHI,4.795000000000016,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 dis this, this thing,0.0,CHI,CHI,2.473000000000013,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this thing, and then,0.0,CHI,CHI,3.0879999999999654,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and then, wait a minute,0.0,CHI,MOT,4.783999999999992,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 wait a minute, what's that baby doin,0.0,MOT,MOT,0.39400000000000546,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's that baby doin, this gonna go in here,0.0,MOT,CHI,1.150000000000034,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this gonna go in here, then xxx the xxx,0.0,CHI,CHI,3.2860000000000014,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 then xxx the xxx, this gonna be an elevat elevator,0.0,CHI,CHI,5.699999999999989,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this gonna be an elevat elevator, oh,0.0,CHI,MOT,3.7269999999999754,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 oh, where's the elevator goin,0.0,MOT,MOT,1.961999999999989,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 where's the elevator goin, here's the baby,0.0,MOT,CHI,4.133000000000038,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 here's the baby, where's the elevator taking the babies,0.0,CHI,MOT,3.3549999999999613,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 where's the elevator taking the babies, to the hotel room,0.0,MOT,CHI,4.168000000000006,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 to the hotel room, what number,0.0,CHI,MOT,2.462000000000046,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what number, this,0.0,MOT,CHI,9.194999999999993,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this, what number hotel room are they goin to,0.0,CHI,MOT,0.56899999999996,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what number hotel room are they goin to, what's that,0.0,MOT,MOT,114.01800000000003,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's that, that's a funny sound,0.0,MOT,CHI,1.2999999999999545,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 that's a funny sound, what do you think it's sposta be,0.0,CHI,MOT,2.0,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what do you think it's sposta be, a cow,0.0,MOT,CHI,3.076999999999998,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 a cow, yeah,0.0,CHI,MOT,1.893000000000029,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 yeah, and what's that,0.0,MOT,MOT,3.796000000000049,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and what's that, a cow,0.0,MOT,CHI,10.97199999999998,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 a cow, is he goin in there too,0.0,CHI,JES,1.41599999999994,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 is he goin in there too, I can fit him in there,0.0,JES,CHI,3.5529999999999973,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 I can fit him in there, and then xxx,0.0,CHI,CHI,4.040000000000077,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and then xxx, then this comes out,0.0,CHI,CHI,3.8199999999999363,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 then this comes out, xxx,0.0,CHI,CHI,17.833000000000084,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 xxx, this here and this,0.0,CHI,CHI,6.710999999999899,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this here and this, hm I never saw the pig before,0.0,CHI,MOT,2.6000000000000227,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 hm I never saw the pig before, was he hidin up there,0.0,MOT,MOT,10.995000000000005,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 was he hidin up there, yeah,0.0,MOT,CHI,2.0430000000000064,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 yeah, what's that person doing over there,0.0,CHI,MOT,1.3700000000000045,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's that person doing over there, on the horsie,0.0,MOT,CHI,15.999000000000024,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 on the horsie, what's he doing on the horsie,0.0,CHI,MOT,2.019999999999982,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's he doing on the horsie, or she could be a she,0.0,MOT,MOT,3.483000000000061,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 or she could be a she, elevator,0.0,MOT,CHI,2.4029999999999063,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 elevator, she want me to xxx her,0.0,CHI,CHI,7.3840000000000146,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 she want me to xxx her, blue eyes,0.0,CHI,CHI,34.77200000000005,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 blue eyes, the baby,0.0,CHI,CHI,7.918000000000006,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 the baby, they both have blue eyes,0.0,CHI,CHI,0.5109999999999673,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 they both have blue eyes, oh,0.0,CHI,MOT,3.657000000000039,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 oh, who else has blue eyes,0.0,MOT,MOT,1.0219999999999345,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 who else has blue eyes, Emma,0.0,MOT,CHI,1.9379999999999882,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 Emma, you have brown eyes,0.0,CHI,CHI,1.6140000000000327,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 you have brown eyes, what does Jessica have,0.0,CHI,MOT,2.4729999999999563,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what does Jessica have, what does she have,0.0,MOT,MOT,6.455000000000041,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what does she have, don't know,0.0,MOT,CHI,0.31399999999996453,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 don't know, xxx,0.0,CHI,MOT,1.1030000000000655,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 xxx, I think she has blue eyes like you honey,0.0,MOT,MOT,0.8009999999999309,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 I think she has blue eyes like you honey, I wanna xxx,0.0,MOT,CHI,1.4630000000000791,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 I wanna xxx, can you get the doors closed,0.0,CHI,MOT,11.192000000000007,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 can you get the doors closed, so when you were last at a hotel room what did you do,0.0,MOT,MOT,37.90599999999995,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 so when you were last at a hotel room what did you do, we forgot nuclear,0.0,MOT,CHI,20.840000000000032,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 we forgot nuclear, oh did we forgot nuclear Barney,0.0,CHI,MOT,2.5539999999999736,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 oh did we forgot nuclear Barney, and we,0.0,MOT,CHI,2.2870000000000346,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and we, what else,0.0,CHI,MOT,1.1259999999999764,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what else, what did you do,0.0,MOT,MOT,6.524999999999977,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what did you do, where did they go,0.0,MOT,CHI,21.817000000000007,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 where did they go, where did they go,0.0,CHI,JES,2.1000000000000227,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 where did they go, in here,0.0,JES,CHI,5.153999999999996,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 in here, do you wanna play with the house,0.0,CHI,JES,7.963999999999942,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 do you wanna play with the house, there's a big doll house over here over there the baby could play in,0.0,JES,JES,6.9080000000000155,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 there's a big doll house over here over there the baby could play in, we can take some we can take some of these for the dollhouse,0.0,JES,CHI,6.734000000000037,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 we can take some we can take some of these for the dollhouse, okay,0.0,CHI,JES,15.360000000000014,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 okay, we can do that,0.0,JES,CHI,0.7899999999999636,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 we can do that, we can do that,0.0,CHI,MOT,1.7989999999999782,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 we can do that, oh,0.0,MOT,MOT,1.2080000000000837,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 oh, that's a carpet,0.0,MOT,CHI,9.69399999999996,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 that's a carpet, yeah,0.0,CHI,MOT,1.254000000000019,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 yeah, we shoul I should take my shoes off,0.0,MOT,CHI,1.7649999999999864,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 we shoul I should take my shoes off, you don't wanna get the carpet dirty,0.0,CHI,MOT,2.9950000000000045,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 you don't wanna get the carpet dirty, no,0.0,MOT,CHI,3.2619999999999436,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 no, you can play on the carpet,0.0,CHI,JES,0.8360000000000127,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 you can play on the carpet, I don't wanna get the the carpet dirty,0.0,JES,CHI,2.1130000000000564,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 I don't wanna get the the carpet dirty, so who's that,0.0,CHI,JES,7.6159999999999854,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 so who's that, look,0.0,JES,CHI,10.356999999999971,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 look, who is that,0.0,CHI,JES,5.027000000000044,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 who is that, there you go,0.0,JES,MOT,9.461999999999989,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 there you go, this is a bed,0.0,MOT,CHI,1.3700000000000045,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this is a bed, this is bed,0.0,CHI,CHI,4.016999999999939,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this is bed, this is a bed mommy,0.0,CHI,CHI,3.924000000000092,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this is a bed mommy, is it,0.0,CHI,MOT,3.1929999999999836,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 is it, is the baby sleepin,0.0,MOT,MOT,0.4759999999999991,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 is the baby sleepin, yeah,0.0,MOT,CHI,2.588999999999942,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 yeah, with the lid on,0.0,CHI,MOT,0.9519999999999982,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
