source_file,age,utterance,responder,response,overreg_past,overreg_plural,response_time
/content/drive/My Drive/childes/Eng-NA/Braunwald/020405.xml,857.5,you frozed it,SIS,uhhuh,TRUE,FALSE,523
/content/drive/My Drive/childes/Eng-NA/Braunwald/020406.xml,858.5,Daddy I got sore throat,FAT,no,FALSE,FALSE,-1091
/content/drive/My Drive/childes/Eng-NA/Braunwald/020526.xml,909,that allowed glass of apple juice,MOT,oh,FALSE,FALSE,NA
/content/drive/My Drive/childes/Eng-NA/Braunwald/020616.xml,929.5,I stopped to Swww a bump,FAT,Swww had a bump,FALSE,FALSE,325
/content/drive/My Drive/childes/Eng-NA/Braunwald/020621.xml,934.5,ah animals and fishes,MOT,animals and fishes,FALSE,TRUE,24
/content/drive/My Drive/childes/Eng-NA/Braunwald/020624.xml,937.5,put her arm put her tube in,MOT,put a tube in her ears,FALSE,FALSE,766
/content/drive/My Drive/childes/Eng-NA/Braunwald/020624.xml,937.5,and I weren't,MOT,you weren't,FALSE,FALSE,NA
/content/drive/My Drive/childes/Eng-NA/Braunwald/020710.xml,954,can I clap my hands this now,FAT,see whose who can do it the quietest,FALSE,FALSE,-1581
/content/drive/My Drive/childes/Eng-NA/Braunwald/020811.xml,985.5,did noone got a paper Mom,MOT,www,FALSE,FALSE,1219
/content/drive/My Drive/childes/Eng-NA/Braunwald/020811.xml,985.5,do you know who got paper,MOT,no,FALSE,FALSE,1309
/content/drive/My Drive/childes/Eng-NA/Braunwald/020811.xml,985.5,you dropped them milk,SIS,xxx,FALSE,FALSE,-2078
/content/drive/My Drive/childes/Eng-NA/Braunwald/020819.xml,993.5,then his cars might be in the garage,MOT,maybe it is,FALSE,FALSE,0
/content/drive/My Drive/childes/Eng-NA/Braunwald/030125a.xml,1151.25,do you let Jwww lost Bun_Bun,SIS,nah I didn't lose it,FALSE,FALSE,35
/content/drive/My Drive/childes/Eng-NA/Braunwald/030125b.xml,1151.25,and that one gone,FAT,isn't that sad,FALSE,FALSE,81
/content/drive/My Drive/childes/Eng-NA/Braunwald/030311.xml,1198.25,just this month did a little bit bigger,MOT,to be how big,FALSE,FALSE,128
/content/drive/My Drive/childes/Eng-NA/Braunwald/030316a.xml,1203.25,and my baby's name was Elizabeth and Jwww's baby's name Rory,SIS,Laura,FALSE,FALSE,-1219
/content/drive/My Drive/childes/Eng-NA/Braunwald/030324.xml,1211.25,your voice has gone loud,MOT,is it,FALSE,FALSE,35
/content/drive/My Drive/childes/Eng-NA/Braunwald/030528a.xml,1276.25,my toast is burned,MOT,uhuh,TRUE,FALSE,-11
/content/drive/My Drive/childes/Eng-NA/Braunwald/030528b.xml,1276.25,but where they went,SIS,let me choose who's gonna to be in our family,FALSE,FALSE,70
/content/drive/My Drive/childes/Eng-NA/Braunwald/030528b.xml,1276.25,I think we call this messy did I Mom,SIS,uhuh,FALSE,FALSE,-325
/content/drive/My Drive/childes/Eng-NA/Braunwald/030528b.xml,1276.25,that what I wanted to tell you I forgot,FAT,yeah,FALSE,FALSE,-139
/content/drive/My Drive/childes/Eng-NA/Braunwald/030528d.xml,1276.25,because I'm gonna show you how I made I how I maded my my treasure box right right Jwww,SIS,here,TRUE,FALSE,-1452
/content/drive/My Drive/childes/Eng-NA/Braunwald/030528d.xml,1276.25,are you getting how you get pink,SIS,this is sort of maroon with pink,FALSE,FALSE,315
/content/drive/My Drive/childes/Eng-NA/Braunwald/030528d.xml,1276.25,are yours fingers getting dirty Jwww,SIS,xxx,FALSE,FALSE,-1893
/content/drive/My Drive/childes/Eng-NA/Braunwald/030702d.xml,1311.25,where did you left your socks,MOT,I left my socks in the bathroom,FALSE,FALSE,186
/content/drive/My Drive/childes/Eng-NA/Braunwald/030702d.xml,1311.25,what did you eat lunch,MOT,pardon me,FALSE,FALSE,1204
/content/drive/My Drive/childes/Eng-NA/Braunwald/040307a.xml,1559.5,Tamsin and I was on tv,MOT,you were,FALSE,FALSE,244
/content/drive/My Drive/childes/Eng-NA/Braunwald/040307a.xml,1559.5,I just I did a little snivels,MOT,no,FALSE,FALSE,267
/content/drive/My Drive/childes/Eng-NA/Braunwald/040311c.xml,1563.5,I don't know how many years you've got married,SIS,about five years ago,FALSE,FALSE,-19
/content/drive/My Drive/childes/Eng-NA/Braunwald/040311c.xml,1563.5,I've got xxx,FRI,I wanna xxx same time as them,FALSE,FALSE,390
/content/drive/My Drive/childes/Eng-NA/Braunwald/040311c.xml,1563.5,I think we better share houses,SIS,houses,FALSE,FALSE,-754
/content/drive/My Drive/childes/Eng-NA/Braunwald/040711a.xml,1685.5,I meaned it from a book about school yesterday,MOT,and the frogs changed their skin,FALSE,FALSE,54
/content/drive/My Drive/childes/Eng-NA/Braunwald/040718d.xml,1692.5,he that you'd be mine I said this you,MOT,he told me ooh,FALSE,FALSE,-81
/content/drive/My Drive/childes/Eng-NA/Braunwald/040718d.xml,1692.5,he told ooh,MOT,eee,FALSE,FALSE,128
/content/drive/My Drive/childes/Eng-NA/Braunwald/040718d.xml,1692.5,I got it and it was all breaked,MOT,it was all broken,TRUE,FALSE,314
/content/drive/My Drive/childes/Eng-NA/Braunwald/041000.xml,1766,where have they took my xxx,GRA,www bring me some coffee,FALSE,FALSE,-771
/content/drive/My Drive/childes/Eng-NA/Braunwald/051013.xml,2144.25,the tooth fairy would have came anyhow,FRI,did you did did you have a good tooth over,FALSE,FALSE,1138
/content/drive/My Drive/childes/Eng-NA/Braunwald/070014.xml,2570.75,these two are pushed,MOT,yeah,FALSE,FALSE,-290
